File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MCD43A4_061_Nadir_Reflectance_Band1_doy2012001_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-01,166990.0,0.0,0.991,"(0.0,0.991)",0.1389267,0.1662845,0.0276505,0.1831,0.4009,0.0593,0.0,0.0379
MCD43A4_061_Nadir_Reflectance_Band1_doy2012002_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-02,168054.0,0.0,0.9909,"(0.0,0.9909)",0.138722,0.1662057,0.0276243,0.1827,0.3997,0.0593,0.0,0.038
MCD43A4_061_Nadir_Reflectance_Band1_doy2012003_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-03,168091.0,0.0,0.9833,"(0.0,0.9833)",0.1384019,0.1662091,0.0276255,0.1835,0.4017,0.0592,0.0,0.038
MCD43A4_061_Nadir_Reflectance_Band1_doy2012004_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-04,153671.0,0.0,0.9867,"(0.0,0.9867)",0.1384956,0.1650598,0.0272447,0.1853,0.4067,0.0603,0.0,0.0377
MCD43A4_061_Nadir_Reflectance_Band1_doy2012005_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-05,147713.0,0.0,0.9897,"(0.0,0.9897)",0.1350624,0.1612003,0.0259855,0.1787,0.3903,0.0602,0.0,0.0376
MCD43A4_061_Nadir_Reflectance_Band1_doy2012006_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-06,145670.0,0.0,0.9794,"(0.0,0.9794)",0.134901,0.1611092,0.0259562,0.1786,0.3901,0.06,0.0,0.0376
MCD43A4_061_Nadir_Reflectance_Band1_doy2012007_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-07,170399.0,0.0,0.9827,"(0.0,0.9827)",0.1267322,0.1582213,0.025034,0.1504,0.3194,0.0572,0.0,0.0377
MCD43A4_061_Nadir_Reflectance_Band1_doy2012008_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-08,178227.0,0.0,0.9888,"(0.0,0.9888)",0.1317292,0.1629512,0.0265531,0.1597,0.3404,0.0587,0.0,0.0392
MCD43A4_061_Nadir_Reflectance_Band1_doy2012009_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-09,181426.0,0.0,0.9883,"(0.0,0.9883)",0.136044,0.1658317,0.0275001,0.1659,0.3519,0.0617,0.0,0.0419
MCD43A4_061_Nadir_Reflectance_Band1_doy2012010_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-10,199270.0,0.0,0.9813,"(0.0,0.9813)",0.1545191,0.1800614,0.0324221,0.2131,0.4664,0.0657,0.0,0.0442
MCD43A4_061_Nadir_Reflectance_Band1_doy2012011_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-11,194970.0,0.0,0.9963,"(0.0,0.9963)",0.1512709,0.1799437,0.0323797,0.1977,0.4267,0.0656,0.0,0.045
MCD43A4_061_Nadir_Reflectance_Band1_doy2012012_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-12,201463.0,0.0,0.9802,"(0.0,0.9802)",0.158632,0.1840897,0.033889,0.2185,0.4772,0.0675,0.0,0.046
MCD43A4_061_Nadir_Reflectance_Band1_doy2012013_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-13,190338.0,0.0,0.9804,"(0.0,0.9804)",0.1431327,0.1717871,0.0295108,0.1777,0.3773,0.0649,0.0,0.0446
MCD43A4_061_Nadir_Reflectance_Band1_doy2012014_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-14,193065.0,0.0,0.9925,"(0.0,0.9925)",0.1480354,0.1769748,0.0313201,0.1878,0.4018,0.0657,0.0,0.0451
MCD43A4_061_Nadir_Reflectance_Band1_doy2012015_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-15,211216.0,0.0,0.9813,"(0.0,0.9813)",0.172894,0.1968539,0.0387515,0.2487,0.5503,0.0707,0.0,0.0476
MCD43A4_061_Nadir_Reflectance_Band1_doy2012016_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-16,197421.0,0.0,0.9878,"(0.0,0.9878)",0.1573002,0.1873317,0.0350932,0.2071,0.4492,0.0667,0.0,0.0457
MCD43A4_061_Nadir_Reflectance_Band1_doy2012017_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-17,210628.0,0.0,0.9943,"(0.0,0.9943)",0.1697626,0.1927091,0.0371368,0.243125,0.5365,0.0706,0.0,0.0475
MCD43A4_061_Nadir_Reflectance_Band1_doy2012018_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-18,190122.0,0.0,0.9837,"(0.0,0.9837)",0.1438613,0.1722214,0.0296602,0.1766,0.3735,0.0659,0.0,0.0453
MCD43A4_061_Nadir_Reflectance_Band1_doy2012019_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-19,186242.0,0.0,0.9882,"(0.0,0.9882)",0.1416143,0.169418,0.0287025,0.1701,0.3568,0.0659,0.0,0.0456
MCD43A4_061_Nadir_Reflectance_Band1_doy2012020_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-20,184609.0,0.0,0.9884,"(0.0,0.9884)",0.1425474,0.1702154,0.0289733,0.1727,0.3633,0.0661,0.0,0.0456
MCD43A4_061_Nadir_Reflectance_Band1_doy2012021_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-21,184097.0,0.0,0.9885,"(0.0,0.9885)",0.1424561,0.1696902,0.0287948,0.1727,0.3627,0.0664,0.0,0.046
MCD43A4_061_Nadir_Reflectance_Band1_doy2012022_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-22,180229.0,0.0,0.9976,"(0.0,0.9976)",0.1456931,0.172204,0.0296542,0.1802,0.3807,0.0674,0.0,0.0465
MCD43A4_061_Nadir_Reflectance_Band1_doy2012023_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-23,176303.0,0.0,0.9956,"(0.0,0.9956)",0.1491127,0.1744414,0.0304298,0.1871,0.3963,0.0691,0.0,0.0476
MCD43A4_061_Nadir_Reflectance_Band1_doy2012024_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-24,168534.0,0.0,0.9876,"(0.0,0.9876)",0.1483049,0.1720507,0.0296015,0.1816,0.3797,0.0703,0.0,0.0495
MCD43A4_061_Nadir_Reflectance_Band1_doy2012025_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-25,153181.0,0.0,0.9901,"(0.0,0.9901)",0.1587959,0.1782519,0.0317737,0.2072,0.4398,0.0743,0.0,0.0521
MCD43A4_061_Nadir_Reflectance_Band1_doy2012026_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-26,125005.0,0.0,0.9952,"(0.0,0.9952)",0.2503218,0.2329758,0.0542777,0.4064,0.9224,0.1503,0.0,0.0624
MCD43A4_061_Nadir_Reflectance_Band1_doy2012027_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-27,87475.0,0.0,0.9832,"(0.0,0.9832)",0.3077,0.2323018,0.0539641,0.4848,0.9832,0.277,0.0,0.0816
MCD43A4_061_Nadir_Reflectance_Band1_doy2012028_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-28,123450.0,0.0,0.9818,"(0.0,0.9818)",0.3330014,0.2112764,0.0446377,0.4899,0.9818,0.3307,0.0,0.1502
MCD43A4_061_Nadir_Reflectance_Band1_doy2012029_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-29,142171.0,0.0,0.9894,"(0.0,0.9894)",0.3518123,0.208851,0.0436187,0.5077,0.9894,0.3547,0.0,0.1834
MCD43A4_061_Nadir_Reflectance_Band1_doy2012030_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-30,154688.0,0.0,0.9909,"(0.0,0.9909)",0.3578798,0.2048825,0.0419768,0.5096,0.9749,0.36,0.0,0.1982
MCD43A4_061_Nadir_Reflectance_Band1_doy2012031_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-31,153179.0,0.0,0.9923,"(0.0,0.9923)",0.3747292,0.1932077,0.0373292,0.5137,0.9366,0.3717,0.0,0.23175
MCD43A4_061_Nadir_Reflectance_Band1_doy2012032_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-01,152005.0,0.0,0.9885,"(0.0,0.9885)",0.391631,0.182901,0.0334528,0.5208,0.9172,0.3843,0.0,0.2563
MCD43A4_061_Nadir_Reflectance_Band1_doy2012033_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-02,156628.0,0.0,0.9828,"(0.0,0.9828)",0.3923704,0.1808612,0.0327108,0.5191,0.9096,0.3836,0.0,0.2587
MCD43A4_061_Nadir_Reflectance_Band1_doy2012034_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-03,158792.0,0.0,0.9888,"(0.0,0.9888)",0.3951583,0.1791983,0.032112,0.5201,0.9079,0.3849,0.0,0.2615
MCD43A4_061_Nadir_Reflectance_Band1_doy2012035_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-04,156195.0,0.0,0.9932,"(0.0,0.9932)",0.4028896,0.1711874,0.0293051,0.5195,0.888,0.3918,0.0,0.2737
MCD43A4_061_Nadir_Reflectance_Band1_doy2012036_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-05,160971.0,0.0,0.9921,"(0.0,0.9921)",0.4132329,0.1804479,0.0325615,0.5389,0.9337,0.4004,0.0,0.2757
MCD43A4_061_Nadir_Reflectance_Band1_doy2012037_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-06,167361.0,0.0,0.994,"(0.0,0.994)",0.4122186,0.180337,0.0325214,0.5366,0.9287,0.3985,0.0,0.2752
